,output_56_r1_avg_train_loss,output_56_r1_train_accuracy,output_56_r1_avg_valid_loss,output_56_r1_valid_accuracy,output_56_r4_avg_train_loss,output_56_r4_train_accuracy,output_56_r4_avg_valid_loss,output_56_r4_valid_accuracy,output_56_r10_avg_train_loss,output_56_r10_train_accuracy,output_56_r10_avg_valid_loss,output_56_r10_valid_accuracy,output_56_r100_avg_train_loss,output_56_r100_train_accuracy,output_56_r100_avg_valid_loss,output_56_r100_valid_accuracy,output_28_r1_avg_train_loss,output_28_r1_train_accuracy,output_28_r1_avg_valid_loss,output_28_r1_valid_accuracy,output_28_r4_avg_train_loss,output_28_r4_train_accuracy,output_28_r4_avg_valid_loss,output_28_r4_valid_accuracy,output_28_r10_avg_train_loss,output_28_r10_train_accuracy,output_28_r10_avg_valid_loss,output_28_r10_valid_accuracy,output_28_r100_avg_train_loss,output_28_r100_train_accuracy,output_28_r100_avg_valid_loss,output_28_r100_valid_accuracy,output_14_r1_avg_train_loss,output_14_r1_train_accuracy,output_14_r1_avg_valid_loss,output_14_r1_valid_accuracy,output_14_r4_avg_train_loss,output_14_r4_train_accuracy,output_14_r4_avg_valid_loss,output_14_r4_valid_accuracy,output_14_r10_avg_train_loss,output_14_r10_train_accuracy,output_14_r10_avg_valid_loss,output_14_r10_valid_accuracy,output_14_r100_avg_train_loss,output_14_r100_train_accuracy,output_14_r100_avg_valid_loss,output_14_r100_valid_accuracy,output_7_r1_avg_train_loss,output_7_r1_train_accuracy,output_7_r1_avg_valid_loss,output_7_r1_valid_accuracy,output_7_r4_avg_train_loss,output_7_r4_train_accuracy,output_7_r4_avg_valid_loss,output_7_r4_valid_accuracy,output_7_r10_avg_train_loss,output_7_r10_train_accuracy,output_7_r10_avg_valid_loss,output_7_r10_valid_accuracy,output_7_r100_avg_train_loss,output_7_r100_train_accuracy,output_7_r100_avg_valid_loss,output_7_r100_valid_accuracy
10,0.640987217,99.67,2.552331924,99.25,0.766154766,99.72,2.556406498,98.65,0.750707388,99.68333333,2.54105401,98.33,1.440171719,95.5,2.973866463,94.5,0.950282395,99.57833333,3.764072895,99.3,1.007154822,99.66666667,3.793209791,98.7,1.014999747,99.6,3.737705708,98.41,1.556881547,90.5,3.719001293,90.55,1.037325025,97.71166667,3.728536844,97.79,1.133448482,96.96666667,3.688513041,97.09,1.176999092,96.73333333,3.639924288,96.11,2.309838295,18.33333333,2.846861601,18.66,1.470208883,83.08833333,3.288929224,84.57,1.578809619,78.55333333,3.241385698,80.5,1.652341843,73.33333333,3.111361504,73.24,2.314657211,10.33333333,2.361411095,9.78
11,0.631961226,99.655,2.532500982,99.14,0.752441764,99.74,2.556720734,98.73,0.739150763,99.71666667,2.530914307,98.17,1.392797947,95.83333333,2.941572666,95.1,0.951526105,99.63666667,3.797509193,99.23,0.99363637,99.56666667,3.760126352,98.58,0.997856021,99.61666667,3.735687733,98.22,1.466650605,93.66666667,3.749087334,94.18,1.028998971,97.96,3.706338882,97.91,1.123523235,97.00666667,3.660241127,97.48,1.176809788,96.26666667,3.675939798,96.53,2.225697041,19.33333333,2.724509954,18.26,1.472147703,82.98666667,3.291431904,84.34,1.562469125,79.54,3.203172684,79.95,1.63087225,73.88333333,3.070239067,73.13,2.298372269,10.83333333,2.455930233,13.44
12,0.623307049,99.68666667,2.527466297,99.27,0.740758419,99.76,2.563055515,98.8,0.739699781,99.65,2.530125141,98.19,1.338452458,96,2.854824305,94.81,0.947253823,99.63333333,3.771216393,99.22,0.984316111,99.7,3.755585909,98.46,1.002746582,99.65,3.756328583,97.92,1.395676374,93.66666667,3.677191257,93.51,1.029106736,97.785,3.705945492,97.47,1.115504026,97.04,3.666523457,97.4,1.161622882,96.46666667,3.669439793,96.41,2.144786596,30.16666667,2.875818729,41.7,1.472835898,83.11333333,3.232067347,83.59,1.549893618,80.16,3.211915493,79.48,1.633242726,74.88333333,3.173804045,78.54,2.249272346,16.83333333,2.572282076,24.17
13,0.618480921,99.71666667,2.528060913,99.15,0.734462678,99.78666667,2.539083004,98.79,0.738913953,99.65,2.562744856,98.56,1.291348577,96,2.8112607,95.26,0.945208013,99.615,3.814961433,99.24,0.978853345,99.61333333,3.769006252,98.88,0.997716665,99.51666667,3.770951509,98.32,1.34726119,94.5,3.737571955,94.88,1.023921371,97.82166667,3.725120306,97.31,1.102184892,97.36666667,3.712070942,97.11,1.156595826,96.45,3.657020807,95.49,2.138687134,44.66666667,2.841082573,44.43,1.473040938,83.38666667,3.281000137,84.24,1.538049459,80.38666667,3.226628304,82.15,1.603296638,76.86666667,3.251949072,76.64,2.250623703,14,2.41976428,9.76
14,0.616658807,99.7,2.534796,99.28,0.724945903,99.80666667,2.530201197,98.74,0.721182525,99.7,2.524178982,98.41,1.2534132,96,2.805490494,95.22,0.937416315,99.68666667,3.820707321,99.27,0.968552291,99.8,3.767295599,98.87,0.979440391,99.7,3.747793436,98.31,1.312480927,95.16666667,3.710345507,94.92,1.032292485,97.84833333,3.721944571,97.83,1.087553263,97.56666667,3.683906317,97.62,1.138076186,96.73333333,3.715132236,96.37,2.088732481,43.33333333,2.954440594,48.03,1.478293896,82.905,3.25561142,84.39,1.53399241,80.56666667,3.213942051,80.87,1.606025934,76.75,3.142095089,79.53,2.257359266,14.16666667,2.586840153,10.93
15,0.614510596,99.73,2.506601334,99.16,0.721952558,99.78,2.534930468,98.72,0.706459582,99.73333333,2.527418613,98.45,1.214939952,96,2.805354834,95.23,0.937496483,99.695,3.81851387,99.21,0.969173014,99.73333333,3.784733772,98.79,0.976219654,99.63333333,3.746906042,98.34,1.288231015,95.33333333,3.730247259,95.1,1.02808392,97.96333333,3.710843325,97.78,1.088403702,97.46,3.712603569,97.21,1.130244613,96.4,3.653342247,95.53,2.014044523,48.5,3.092931032,49.63,1.475082994,83.415,3.271472216,84.52,1.534943223,80.69333333,3.223272562,81.56,1.597933531,77.06666667,3.180003166,77.55,2.192771912,10.16666667,2.556774616,10.1
16,0.611599505,99.73166667,2.534287453,99.24,0.718226969,99.81333333,2.536437511,98.76,0.697750092,99.73333333,2.508581877,98.52,1.192197919,96,2.743913651,95.2,0.922710717,99.71166667,3.840872765,99.19,0.965814412,99.75333333,3.776049614,98.74,0.966762543,99.63333333,3.693019867,98.27,1.282551289,95,3.667355299,92.3,1.026615143,97.915,3.727617025,98.07,1.086527944,97.6,3.692784309,97.16,1.126026869,96.9,3.705261946,96.47,1.922292352,50.33333333,3.226477146,53.97,1.473543644,83.24,3.233644247,83.82,1.518548965,81.64,3.235364914,82.06,1.588126302,76.98333333,3.23652482,79.87,2.161543131,11.5,2.588354349,14.24
17,0.613936245,99.72666667,2.509264946,99.25,0.716166615,99.81333333,2.517956257,98.87,0.69436413,99.73333333,2.496402979,98.41,1.162805438,96,2.786942959,95.51,0.914303362,99.65166667,3.769360304,99.1,0.968415022,99.67333333,3.783399105,98.78,0.973977685,99.56666667,3.752216816,98.19,1.269905567,95.33333333,3.695168257,95.12,1.023210883,97.99333333,3.723851204,97.97,1.074869633,97.77333333,3.712999821,97.64,1.131578684,96.23333333,3.724662304,95.66,1.861970901,50,3.175804853,55.88,1.471731663,83.33166667,3.19704628,83.13,1.510449886,81.74,3.226257801,81.69,1.582472563,77.66666667,3.21298337,79.14,2.120854855,16.16666667,2.624529123,23.74
18,0.609015524,99.71166667,2.524372578,99.31,0.711065352,99.82,2.509387255,98.75,0.689998686,99.73333333,2.522628546,98.43,1.141606927,96,2.749193907,95.21,0.912135482,99.65833333,3.823131084,99.16,0.952359438,99.76,3.787508011,98.88,0.957525671,99.73333333,3.792592049,98.58,1.248963475,95.33333333,3.716859579,94.52,1.024527788,98.01833333,3.746719122,98.01,1.072181225,97.61333333,3.732691526,97.24,1.106314778,97.08333333,3.693856239,96.84,1.77859354,54.33333333,3.077590227,55.11,1.474371791,83.33666667,3.243876219,84.81,1.502425432,81.62666667,3.213447332,83.11,1.573313594,78.4,3.167577267,79.92,2.127305984,20.83333333,2.683141708,26.21
19,0.603482425,99.75,2.558233976,99.3,0.701364219,99.82666667,2.521460295,98.82,0.692794025,99.71666667,2.50291729,98.48,1.128592014,96,2.740410328,95.14,0.903186738,99.69166667,3.878907919,99.27,0.950730443,99.74,3.761071682,98.73,0.95165354,99.73333333,3.785596848,98.51,1.247476816,95.5,3.734729052,95.59,1.022185326,97.98,3.73682189,97.95,1.064683914,97.71333333,3.770724297,97.58,1.09318161,97.43333333,3.704383612,95.12,1.743975282,56.16666667,3.143159866,61.34,1.470239639,83.71833333,3.279951572,84.57,1.511562586,81.35333333,3.225560188,81.73,1.56560874,78.36666667,3.235167265,80.81,2.102945805,26,2.701954126,30.97
